用户	User
风险分解结构	Risk Breakdown Structure
组织分解结构	Organization Breakdown Structure
检查项	Quality Item
费用科目	Cost Breakdown Structure
概算	Estimate
删除	Recycle
实际	Actual
分配	Allocation
累计	Accumulated
余额	Balance
计算	Calculate
完成	Complete
创建	Create
当前	Current
持续时间	Duration
输入	Entry
执行	Execute
导出	Export
导入	Import
初始化	Initialize
最后	Last
最大	Maximum
最小	Minimum
原始	Original
剩余	Remain
结果	Result
开始	Start
目标	Target
总计	Total
申请	Application
领用	Requisition
发布	Release
整改	Rectification
主键	Primary Key
外键	Foreign Key
父键	Parent Key
管理员	Administrator
批准人	Approver
公司	Company
经理	Manager
所有者	Owner
录入人	Register Human
负责人	Responsible Person
监督人	Supervisor
更新人	Update Human
日历	Calendar
权限组	Right Group
项目经理	Project Manager
甲方	Party A
乙方	Party B
承包商	Contractor
监理	Supervisor
设计经理	Design Manager
责任人	Responsible Person
经办人	Handler
签发人	Sender
接收人	Receiver
审核人	Auditor
审定人	Authorizer
校对人	Proofreader
施工单位	Construction Company
监理单位	Supervision Company
设计单位	Design Company
申请人	Applicant
审批人	Approval Human
采购需求	Purchase Requisition
物资分类	Material Business Structure
不含税金额	Exclude Tax Amount
不含税单价	Exclude Tax Price
需求跟踪号	PR Detail Code
采购专业	Purchase Major
物资编码	Material Code
物资名称	Material Name
批次号	Batch Code
原材料	Raw Material
缺陷处理	Defect Treatment
进度款	Progress Payment
承办	Hosting
履约	Performance
费用类型	Cost Type
预付款	Advance Payment
质保金	Warranty Gold
奖惩	Rewards and Punishments
代扣代缴	Withhold
主合同	Main Contract
采购合同	Purchase Contract
进项合同	Income Contract
出项合同	Outcome Contract
保函	Guarantee
支付项	Payment Item
计划开始	Target Start
计划完成	Target End
实际开始	Actual Start
实际完成	Actual End
期望完成	Expect End
权重百分比	Estimated Weight Percentage
计划值	Planned Value
挣得值	BCWP
小时数	Hour Count
计划完成日期	Target End Date
计划开始日期	Target Start Date
实际完成日期	Actual End Date
实际开始日期	Actual Start Date
剩余工期	Remain Duration
工期（小时）	Duration Hour Count
紧前关系	Predecessor
升版	Upgrade
预期	Expect
最早开始	Early Start
最晚结束	Late End
不合格	Unqualified
危险源	Hazard Resource
事故	Accident
焊接	Welding
质量控制	Quality Control
质量检查项	Quality Inspection
决算	Settlement
建筑费	Construction Fee
安装费	Installation Fee
设备费	Equipment Fee
材料费	Material Fee
其他费用	Other Cost
增值税	Value Added Tax
货币	Currency
确认	Confirm
密级	Secret Level
